,,6,L,,,,O,,,,,C,7,G,2,N,,,,,,J,,8
,C,D,,G,,,,,J,,,3,P,,,O,F,,8,,E,,,M
,A,E,,7,,,P,,,J,D,5,,F,G,,3,9,C,,,,,B
,4,,M,,,,,,F,9,,,L,,,,,H,D,3,K,,,
K,,N,8,O,3,2,,6,C,,1,,,E,,,,,P,5,F,D,,
,D,8,,,J,,,4,,O,I,6,,5,K,P,,,2,G,,9,,1
6,,G,O,,A,L,,P,,,,,,4,,D,,,3,H,,,7,C
,I,,J,F,,5,,,,,L,P,,C,,1,7,,,K,N,,,A
,,5,B,N,,F,,,,G,,,K,J,I,,,6,A,E,2,8,,
,,,P,1,,K,6,,2,,,,,,9,,E,8,,M,4,L,D,
,,,,,,H,7,C,8,,E,1,,P,J,4,,,K,,,G,L,
,8,4,,D,,,,J,6,L,,K,B,,3,F,,P,,,,N,E,7
,B,,G,,9,M,,,,,O,,,,,H,D,E,,,,5,,2
,9,K,,L,,,,E,D,F,,G,N,,B,2,,5,,,,H,I,J
,,,,,,1,4,A,5,,2,9,,H,8,C,,,N,,,6,3,
,,,1,M,,P,5,,4,,,,,,N,,9,K,,8,C,A,B,
,,3,E,8,,9,,,,4,,,6,2,C,,,J,F,I,7,K,,
,6,,9,A,,7,,,,,J,O,,K,,5,4,,,N,H,,,3
2,,H,N,,M,J,,1,,,,,,B,,8,,,L,O,,,9,4
,K,C,,,8,,,N,,P,7,A,,9,1,B,,,H,6,,F,,E
O,,F,K,P,2,A,,G,3,,9,,,6,,,,,B,J,D,C,,
,G,,4,,,,,,H,3,,,F,,,,,2,7,1,A,,,
,E,1,,H,,,L,,,D,M,B,,A,5,,P,3,J,,,,,N
,5,7,,6,,,,,P,,,8,G,,,L,K,,4,,B,,,O
,,2,D,,,,F,,,,,J,C,N,O,6,,,,,,4,,L
