,C,,,,,3,,4,A,P,H,L,E,M,K,,I,,,,,F,,
J,A,7,,L,5,E,,,,,,,2,F,D,H,8,,O,,,,3,
N,,,,8,,,D,,,,,,,,P,4,B,G,,J,M,,,E
M,,,,,,,H,,,,D,,,,,,,,2,,P,O,,
,9,D,B,,,,,6,,,,,K,O,3,,F,E,,L,7,2,,
B,,,,,,,,,,,,,6,D,N,J,3,P,M,K,,1,9,8
,D,,,,2,B,,9,1,,8,3,J,4,C,O,,5,,,G,,6,
,,,E,K,,N,,7,,,5,,P,9,H,A,,,,,2,,,
6,J,I,,,,,K,A,,2,,O,1,,,,,B,,D,,7,F,
,5,M,,7,,,,I,6,N,F,,C,,,,,,,,,,,L
,,,N,,,A,I,,,,,,5,,B,7,,,,C,9,,,
I,,,,,,,,G,F,6,K,C,O,P,,L,J,,,,8,,,
L,K,,D,C,,2,O,8,,1,,,4,,5,,,I,,,A,H,P,
G,H,A,,,B,,,,3,,,N,,,M,,P,9,,5,,,,
,,O,,,,,,5,,M,,H,A,J,2,K,,,8,E,6,,,
,,,,N,9,5,8,,,F,A,,I,G,O,,D,,3,,1,,,
,,8,2,,,,,D,,C,L,7,3,,J,9,,,F,M,E,,5,6
,1,C,9,H,,,,,,4,J,E,,,8,,,,A,,N,G,,7
3,,B,K,,,M,,,7,,,,,1,,,4,,,,F,C,,
,,6,P,5,,,C,,J,,,,,,7,B,N,L,,2,,,,A
E,,L,,,,8,,2,,5,,,,,,,,,J,9,,,I,P
K,,5,,1,F,,,,,,,8,L,,,,C,,4,H,,,,
,,3,,,,,A,B,,O,P,1,,,,5,,H,,6,L,J,8,K
C,B,,,,,,,3,5,,,I,9,E,,G,,2,N,1,,M,,
F,,P,M,,I,7,6,L,9,,C,,D,,,8,1,,,N,,4,E,5
