M,L,6,C,,,B,1,,,7,,3,,K,,,H,J,,,A,9,F,5
9,G,,,4,,E,M,8,,,H,,C,,,7,6,3,,L,,,J,P
8,P,,E,2,,,7,,J,G,B,,5,D,C,,9,,,4,1,,M,N
,,A,,,6,,,,,8,,,,M,,,,,2,,,7,,
,,N,,7,F,,,,I,,,A,,,1,,,,P,6,,G,,
,,C,2,,,J,,,,D,,N,,E,,,,A,,,4,O,,
F,D,,,N,,A,,,,1,,,,H,,,,5,,J,,,K,L
4,J,,6,,,5,,,,I,,,,C,,,,1,,,M,,P,A
P,,B,1,,N,G,L,C,M,,3,,7,,6,J,F,D,8,,2,5,,H
L,,,,H,8,,,4,,,A,,9,,,N,,,C,3,,,,B
,9,,,,,,I,,,O,,,,1,,,G,,,,,,6,
,,,3,5,,N,,,,E,,,,7,,,,H,,9,J,,,
,,2,,,,H,,B,,,6,4,J,,,3,,K,,,,E,,
7,8,P,G,,,,,,,,,B,,,,,,,,,H,4,5,I
,,,,,3,,,J,2,5,,,,G,9,M,,,E,,,,,
O,H,,,8,J,2,,,,K,,,,F,,,,P,3,I,,,L,D
G,,5,K,,D,,,,L,B,,,,P,F,,,,A,,E,H,,6
,2,,,,4,,,I,G,,D,O,6,,K,H,,,L,,,,3,
,6,M,P,B,,1,3,N,7,H,,,,L,D,8,2,4,,K,O,A,G,
3,F,,I,,,,,,6,N,,5,,9,G,,,,,,P,,7,4
6,,J,,P,H,,F,3,9,,,E,,,7,C,D,,M,A,,2,,K
B,7,,,,I,P,,1,,,F,,H,,,L,,6,4,,,,N,J
C,O,F,5,,,8,A,6,,,4,P,K,,,G,1,E,,,L,3,H,9
2,,H,,K,,4,,D,,9,,,,N,,P,,I,,5,,6,,7
,,D,N,,5,,B,,,2,,,,6,,,8,,J,,G,F,,
