,B,,G,4,,,,,7,,O,,D,,2,,,,,C,I,,3,
,2,,6,,,5,,D,B,,F,,G,,H,7,,N,,,P,,J,
M,J,5,,9,,,,E,1,,2,,B,,3,K,,,,D,,G,6,L
,,I,,,L,3,G,,4,7,6,,H,N,C,,O,9,J,,,1,,
3,,K,7,,9,6,P,,,1,,L,,I,,,D,A,8,,2,B,,N
1,,,,,K,,,,F,,P,G,9,,4,,,,5,,,,,H
,,,,N,,,5,,,,,8,,,,,1,,,7,,,,
,M,,E,O,H,,,,3,L,I,,F,2,D,,,,7,J,9,,C,
I,D,L,C,,A,7,J,,,,,,,,,,M,8,K,,B,5,2,E
P,,,,,,D,E,,I,O,,,,5,N,,H,J,,,,,,G
,C,P,,,8,,,,9,D,H,,1,7,A,,,,3,,,L,M,
,E,,,L,,1,6,5,,,,,,,,8,F,P,,A,,,H,
,,,,H,M,J,,,,E,K,,C,B,,,,G,2,4,,,,
9,,7,K,,F,B,2,,H,,,P,,,E,,C,M,L,,1,J,,5
,,,,,,E,K,,,M,9,,L,O,,,J,5,,,,,,
,,N,J,3,B,4,,,,,5,,2,,,,,I,P,M,A,C,,
,,,,,,9,,A,,F,8,,K,L,,C,,H,,,,,,
,L,C,D,,,8,I,H,,,B,,N,,,F,6,4,,,E,O,7,
E,,H,O,F,,C,1,,J,P,4,I,A,M,5,,2,B,,L,6,8,,9
K,,,,P,5,,N,,,C,,D,,J,,,7,,1,F,,,,I
,,,,E,,G,M,,,,D,,P,,,,8,C,,6,,,,
H,6,O,,1,,,,,,5,E,,4,8,,,,,,2,,3,B,K
D,,,L,K,O,,,,,,7,,M,,,,,,F,I,C,,C,P
C,P,,,M,,K,,B,5,2,,,,6,O,E,,D,,1,,,8,F
4,,J,,B,E,H,L,,P,,,1,,,6,,3,2,N,G,,A,,7
