K,C,M,,,7,9,,,,I,4,,E,,J,,8,B,,L,,,,2
B,,,,,P,,E,D,I,L,F,C,,,,,4,,,,,,7,G
,2,,,,C,N,L,O,,7,,H,M,B,,P,,,I,,,K,,6
5,,,,I,B,,K,,1,A,,P,,8,C,M,O,F,,,D,H,,
,D,,,4,F,,,3,M,G,N,,,,,5,,L,,,,,,
9,,1,4,A,,C,,,,,5,,,,,O,,,,P,,,6,K
,,,,2,,G,8,M,D,E,,A,,,N,,,,B,,I,,,
,,,,O,6,1,9,5,,F,K,I,,,,4,,,7,,,,B,
C,,,B,5,,,,F,7,2,,9,,D,,G,,A,,N,H,,,
,F,D,,,,E,O,P,,,C,,,3,K,,,M,,A,,7,4,
,,5,1,,,,G,,3,P,,E,,N,6,H,7,D,4,9,,,,
,I,,,3,N,,,,,J,L,,2,,8,F,A,,,B,O,,P,
L,,C,,,,,,,,,,,,,,B,,3,,,,,2,
,O,,,F,E,,,,,6,G,,1,,M,9,I,,,3,5,,H,
,,6,H,,,,7,,B,8,,3,,9,P,2,N,1,E,G,,,,
,6,2,,,,7,I,E,,,9,,,P,O,,,H,,F,,A,8,
O,,,J,E,,,,G,P,M,,B,,F,,6,,I,,K,L,,,
,,,,B,4,F,5,1,,D,J,8,,,,E,,,P,,,C,O,
,,,,L,,3,H,B,2,1,,G,,,5,,,,M,,P,,,
1,,8,K,H,,6,,,,,2,,,,,7,,,,5,,,D,M
,L,,,K,9,,,C,8,B,P,,,,,I,,5,,,C,,,
8,,,,P,D,,N,,E,5,,2,,H,B,L,K,G,,,9,1,,
,B,,,,G,4,A,H,,K,,L,7,J,,N,,,2,,,3,,5
J,,,,,I,,F,K,5,9,A,O,,,,,3,,,,,,L,4
G,H,A,,,L,P,,,,C,3,,D,,4,,9,E,,7,,,,I
