,9,1,,B,F,,G,,C,,5,H,,J,I,E,,,O,N,,,,4
8,,I,C,J,N,,H,A,,4,,,2,,,B,P,7,,6,,1,O,
A,,,,5,,,,,,,C,,7,,J,F,,,H,,,G,,
N,,4,,,L,7,B,,,K,,O,,D,,1,6,2,,,,,,P
,,,2,,D,,K,,,L,,B,P,,G,,A,9,M,3,I,,,
1,,,,I,,,,C,A,,,5,,,7,K,,3,,D,,,G,
D,B,9,E,,,5,F,,,N,L,,3,,,,I,6,,1,,,A,
C,J,,5,,,G,1,,,9,M,,I,6,,L,2,A,N,,,3,4,E
,,,,,,,,,D,,,,,O,,,,,B,P,9,,,
,,M,,,9,,,,,D,8,G,H,,F,,,J,E,,,,N,2
K,,,H,1,,,,,I,C,,,D,F,,M,L,,,E,,P,,B
,8,5,6,P,J,N,,,,A,E,M,,I,,3,7,,,,D,H,9,
,,,F,L,3,9,,2,,P,,,,,,H,D,G,,,O,M,J,
,M,D,J,4,P,E,,,,2,7,6,,H,,O,8,,,,N,A,1,
9,,,7,3,,,,,L,B,,,G,4,,6,E,,,8,,2,,5
,,E,,,I,,,,,G,O,J,N,,4,,,P,L,,,,F,9
,,,,,,,,,2,,,,,3,,,,,K,5,8,,,
L,1,,B,,,4,5,,,7,H,,6,P,,C,J,I,8,,,D,E,O
H,P,F,4,,,L,6,,,M,1,,8,,,,5,O,,B,,,I,
O,,,,A,,,,9,P,,,I,,,M,N,,B,,K,,,L,
,,,O,,C,,E,,,H,,8,1,,2,,B,N,7,A,P,,,
B,,6,,,H,O,A,,,3,,E,,5,,D,C,M,,,,,,G
P,,,,8,,,,,,,N,,J,,O,9,,,3,,,5,,
4,,H,1,2,8,,J,6,,I,,,C,,,P,K,5,,O,,B,D,
,L,K,,E,5,,3,,N,,D,A,,2,H,I,,,6,9,,,,8
